,score,fold,task,best_epoch,batch_size
0,0.8607677293428758,0,./tasks_O_z-score/O_z-score_train_UCEC_grade.h5,87,32
1,0.8741519674355495,1,./tasks_O_z-score/O_z-score_train_UCEC_grade.h5,85,32
2,0.9261968085106382,2,./tasks_O_z-score/O_z-score_train_UCEC_grade.h5,84,32
3,0.9138166894664842,3,./tasks_O_z-score/O_z-score_train_UCEC_grade.h5,102,32
4,0.9078947368421053,4,./tasks_O_z-score/O_z-score_train_UCEC_grade.h5,85,32
5,0.7650085763293311,0,./tasks_O_z-score/O_z-score_train_LIHC_grade.h5,57,32
6,0.6429618768328446,1,./tasks_O_z-score/O_z-score_train_LIHC_grade.h5,58,32
7,0.8210361067503924,2,./tasks_O_z-score/O_z-score_train_LIHC_grade.h5,60,32
8,0.6011705685618729,3,./tasks_O_z-score/O_z-score_train_LIHC_grade.h5,79,32
9,0.6284965034965035,4,./tasks_O_z-score/O_z-score_train_LIHC_grade.h5,60,32
10,0.7703703703703704,0,./tasks_O_z-score/O_z-score_train_STAD_grade.h5,90,32
11,0.7872727272727273,1,./tasks_O_z-score/O_z-score_train_STAD_grade.h5,80,32
12,0.6873522458628842,2,./tasks_O_z-score/O_z-score_train_STAD_grade.h5,65,32
13,0.7488179669030732,3,./tasks_O_z-score/O_z-score_train_STAD_grade.h5,75,32
14,0.7208333333333333,4,./tasks_O_z-score/O_z-score_train_STAD_grade.h5,78,32
15,0.6291248206599713,0,./tasks_O_z-score/O_z-score_train_KIRC_grade.h5,42,32
16,0.5669710806697109,1,./tasks_O_z-score/O_z-score_train_KIRC_grade.h5,56,32
17,0.5789115646258503,2,./tasks_O_z-score/O_z-score_train_KIRC_grade.h5,57,32
18,0.7441860465116279,3,./tasks_O_z-score/O_z-score_train_KIRC_grade.h5,30,32
19,0.6007518796992481,4,./tasks_O_z-score/O_z-score_train_KIRC_grade.h5,44,32
20,0.706828885400314,0,./tasks_O_z-score/O_z-score_validate_LUSC_stage.h5,65,32
21,0.615686274509804,1,./tasks_O_z-score/O_z-score_validate_LUSC_stage.h5,69,32
22,0.5703557312252965,2,./tasks_O_z-score/O_z-score_validate_LUSC_stage.h5,69,32
23,0.641287284144427,3,./tasks_O_z-score/O_z-score_validate_LUSC_stage.h5,75,32
24,0.600640256102441,4,./tasks_O_z-score/O_z-score_validate_LUSC_stage.h5,77,32
25,0.5742881609933633,0,./tasks_O_z-score/O_z-score_test_BRCA_stage.h5,44,32
26,0.5796690307328605,1,./tasks_O_z-score/O_z-score_test_BRCA_stage.h5,40,32
27,0.7168003565062387,2,./tasks_O_z-score/O_z-score_test_BRCA_stage.h5,41,32
28,0.6549971767363072,3,./tasks_O_z-score/O_z-score_test_BRCA_stage.h5,43,32
29,0.6085061137692716,4,./tasks_O_z-score/O_z-score_test_BRCA_stage.h5,40,32
30,0.6955903271692745,0,./tasks_O_z-score/O_z-score_train_LIHC_stage.h5,61,32
31,0.7891737891737892,1,./tasks_O_z-score/O_z-score_train_LIHC_stage.h5,51,32
32,0.6806543385490754,2,./tasks_O_z-score/O_z-score_train_LIHC_stage.h5,47,32
33,0.6843615494978479,3,./tasks_O_z-score/O_z-score_train_LIHC_stage.h5,52,32
34,0.5706845238095237,4,./tasks_O_z-score/O_z-score_train_LIHC_stage.h5,79,32
35,0.6974734042553192,0,./tasks_O_z-score/O_z-score_train_UCEC_stage.h5,57,32
36,0.7309859154929578,1,./tasks_O_z-score/O_z-score_train_UCEC_stage.h5,63,32
37,0.7199042407660738,2,./tasks_O_z-score/O_z-score_train_UCEC_stage.h5,57,32
38,0.6414768806073154,3,./tasks_O_z-score/O_z-score_train_UCEC_stage.h5,70,32
39,0.6767857142857143,4,./tasks_O_z-score/O_z-score_train_UCEC_stage.h5,44,32
40,0.6818181818181818,0,./tasks_O_z-score/O_z-score_train_THCA_stage.h5,94,32
41,0.6295454545454546,1,./tasks_O_z-score/O_z-score_train_THCA_stage.h5,74,32
42,0.6953781512605042,2,./tasks_O_z-score/O_z-score_train_THCA_stage.h5,80,32
43,0.7152804642166345,3,./tasks_O_z-score/O_z-score_train_THCA_stage.h5,77,32
44,0.7253086419753088,4,./tasks_O_z-score/O_z-score_train_THCA_stage.h5,84,32
45,0.763157894736842,0,./tasks_O_z-score/O_z-score_train_COAD_stage.h5,99,32
46,0.785263987391647,1,./tasks_O_z-score/O_z-score_train_COAD_stage.h5,93,32
47,0.7086065573770491,2,./tasks_O_z-score/O_z-score_train_COAD_stage.h5,112,32
48,0.7281475541299117,3,./tasks_O_z-score/O_z-score_train_COAD_stage.h5,105,32
49,0.6589430894308943,4,./tasks_O_z-score/O_z-score_train_COAD_stage.h5,116,32
50,0.7601279317697227,0,./tasks_O_z-score/O_z-score_train_KIRC_stage.h5,64,32
51,0.8266384778012684,1,./tasks_O_z-score/O_z-score_train_KIRC_stage.h5,72,32
52,0.6833898305084747,2,./tasks_O_z-score/O_z-score_train_KIRC_stage.h5,76,32
53,0.7285714285714286,3,./tasks_O_z-score/O_z-score_train_KIRC_stage.h5,66,32
54,0.7843364197530864,4,./tasks_O_z-score/O_z-score_train_KIRC_stage.h5,73,32
55,0.6328502415458938,0,./tasks_O_z-score/O_z-score_train_SKCM_stage.h5,103,32
56,0.7825311942959002,1,./tasks_O_z-score/O_z-score_train_SKCM_stage.h5,38,32
57,0.5294117647058825,2,./tasks_O_z-score/O_z-score_train_SKCM_stage.h5,95,32
58,0.5677083333333334,3,./tasks_O_z-score/O_z-score_train_SKCM_stage.h5,118,32
59,0.7025089605734767,4,./tasks_O_z-score/O_z-score_train_SKCM_stage.h5,75,32
60,0.6625,0,./tasks_O_z-score/O_z-score_train_STAD_stage.h5,28,32
61,0.6362573099415205,1,./tasks_O_z-score/O_z-score_train_STAD_stage.h5,33,32
62,0.4784883720930232,2,./tasks_O_z-score/O_z-score_train_STAD_stage.h5,57,32
63,0.6197674418604651,3,./tasks_O_z-score/O_z-score_train_STAD_stage.h5,39,32
64,0.6397660818713451,4,./tasks_O_z-score/O_z-score_train_STAD_stage.h5,54,32
65,0.7705263157894737,0,./tasks_O_z-score/O_z-score_test_HNSC_grade.h5,89,32
66,0.7779342723004695,1,./tasks_O_z-score/O_z-score_test_HNSC_grade.h5,96,32
67,0.741917502787068,2,./tasks_O_z-score/O_z-score_test_HNSC_grade.h5,84,32
